,model,mae,mse,rmse,r2
0,xgb,818.759750043849,1263473.872023123,1124.0435365336714,0.7968201724670123
1,gbr,827.26930140518,1261699.0631751285,1123.2537839576275,0.7971055803124963
2,cat,827.4898969632939,1261339.3793674777,1123.0936645567358,0.7971634212347529
3,lgbr,828.3619156003826,1259647.7124473208,1122.340283714044,0.7974354589877224
4,ridge,831.4747515375153,1265864.024998245,1125.1062283172398,0.7964358108430674
5,lasso,831.474751537522,1265864.0249982467,1125.1062283172405,0.7964358108430671
6,et,834.8307252454463,1269443.1015592532,1126.6956561375628,0.795860257858162
7,dt,842.0657603170444,1294527.7470906135,1137.7731527376684,0.7918263842137256
8,rf,851.7270905376032,1312969.379526272,1145.848759447019,0.7888607766292142
9,knn,867.9618955526126,1394559.627149127,1180.9147416935427,0.7757402105395959
10,ada,882.1339456908137,1395814.2430180984,1181.4458273734342,0.7755384551716992
